Country Name,GDP 2015,GDP 2016,GDP 2017,Country Name,GDP 2015,GDP 2016,GDP 2017
Mexico,9605.952351,8739.142471,9281.101483,,,,
Marshall Islands,3128.4998,3368.804018,3516.71432,,,,
Middle income,4850.346612,4817.176095,5229.031764,,,,
North Macedonia,4840.273123,5129.15896,5417.642019,,,,
Mali,751.1704966,779.874933,828.6132202,,,,
Malta,24046.27535,25128.93738,27241.09064,,,,
Myanmar,1133.002816,1192.495338,1249.828757,,,,
Middle East & North Africa (excluding high income),3960.769906,3924.923357,3817.686174,,,,
Montenegro,6514.272695,7028.936577,7784.06529,,,,
Mongolia,3918.579174,3660.150746,3671.948419,,,,
Northern Mariana Islands,16690.5701,22246.74308,28163.78487,,,,
Mozambique,547.2380939,391.5528948,441.6178369,,,,
Mauritania,1194.312515,1135.558646,1161.785457,,,,
Mauritius,9260.447303,9681.618567,10484.90836,,,,
Malawi,380.5970331,315.7773264,356.7175732,,,,
Malaysia,9799.367531,9671.024717,10117.56903,,,,
North America,55476.89671,56340.17651,58434.03088,,,,
Namibia,5032.889762,4786.235303,5646.456007,,,,
New Caledonia,,,,,,,
Niger,360.8533841,362.1311323,375.8694897,,,,
Nigeria,2730.430324,2175.99967,1968.559588,,,,
Nicaragua,2049.851415,2107.574238,2168.19124,,,,
Netherlands,45175.23189,46007.85292,48482.76621,,,,
Norway,74521.56993,70941.52527,75704.2487,,,,
Nepal,792.5528906,777.1475955,900.5739036,,,,
Nauru,8013.14784,7820.909491,8844.41715,,,,
New Zealand,38559.54704,40026.8522,42260.12518,,,,
OECD members,36603.71808,37070.56061,38407.76928,,,,
Oman,16150.88726,14721.64733,15170.35174,,,,
Other small states,12832.04013,12404.20144,13422.24394,,,,
Pakistan,1356.667731,1368.454326,1466.843096,,,,
Panama,13630.30797,14356.32405,15166.12443,,,,
Peru,6227.586716,6205.3709,6700.81138,,,,
Philippines,2867.15199,2941.21204,2981.934151,,,,
Palau,16593.48995,17150.04231,16274.90454,,,,
Papua New Guinea,2679.326711,2509.629007,2640.153572,,,,
Poland,12572.32185,12431.57542,13861.05156,,,,
Pre-demographic dividend,1585.584759,1403.432374,1457.876694,,,,
Puerto Rico,29764.05389,30628.75478,31353.43418,,,,
"Korea, Dem. People’s Rep.",,,,,,,
Portugal,19252.63495,19977.39849,21291.43088,,,,
Paraguay,5406.703857,5319.410218,5680.580768,,,,
West Bank and Gaza,2967.851747,3074.291152,3254.485887,,,,
Pacific island small states,3782.032777,3885.782088,4080.526197,,,,
Post-demographic dividend,40474.33757,41182.42804,42724.08249,,,,
French Polynesia,,,,,,,
Qatar,63039.01655,57163.06099,61264.39648,,,,
Romania,8977.498544,9567.097782,10792.95628,,,,
Russia,9313.787542,8745.375116,10750.58712,,,,
Rwanda,728.0817574,726.353049,762.4991636,,,,
South Asia,1541.835813,1648.678479,1867.272248,,,,
Saudi Arabia,20627.93278,19879.29753,20803.74257,,,,
Sudan,2486.745659,2398.10188,3015.02443,,,,
Senegal,1218.764246,1269.040407,1367.218948,,,,
Singapore,55646.61875,56724.17039,60297.79378,,,,
Solomon Islands,1914.467926,1990.031497,2077.126038,,,,
Sierra Leone,588.2284527,501.4157129,499.3807078,,,,
El Salvador,3705.577946,3800.122181,3902.237622,,,,
San Marino,45774.58789,46692.35109,48494.55141,,,,
Somalia,483.3589617,482.1785648,488.5833065,,,,
Serbia,5585.117808,5756.381194,6284.192672,,,,
Sub-Saharan Africa (excluding high income),1667.861095,1509.928288,1597.682727,,,,
South Sudan,1154.800949,283.4878017,,,,,
Sub-Saharan Africa,1669.088368,1511.184408,1598.968095,,,,
Small states,11732.17339,11298.81941,12125.16296,,,,
Sao Tome and Principe,1595.861423,1710.133948,1811.009633,,,,
Suriname,8561.974179,5606.712075,5379.119415,,,,
Slovak Republic,16182.30372,16544.22781,17579.2594,,,,
Slovenia,20887.51964,21617.57985,23449.57452,,,,
Sweden,50832.55271,51617.54035,53253.47664,,,,
Eswatini,3641.408583,3426.826597,3941.900457,,,,
Sint Maarten (Dutch part),,,,,,,
Seychelles,14745.34146,15077.83902,15683.6565,,,,
Syrian,,,,,,,
Turks and Caicos Islands,24832.59637,25995.17246,25933.60744,,,,
Chad,775.7075235,692.9785958,664.3033157,,,,
East Asia & Pacific (IDA & IBRD countries),6556.420419,6623.978189,7156.320319,,,,
Europe & Central Asia (IDA & IBRD countries),7981.267098,7648.518446,8516.291877,,,,
Togo,570.6807371,587.8744094,619.066371,,,,
Thailand,5840.046948,5978.611454,6578.188865,,,,
Tajikistan,929.0958572,802.5180041,806.0415731,,,,
Turkmenistan,6432.680702,6389.548408,6587.090316,,,,
Latin America & the Caribbean (IDA & IBRD countries),8716.406758,8404.752742,9253.666484,,,,
Timor-Leste,2585.153878,2053.273798,2000.601191,,,,
Middle East & North Africa (IDA & IBRD countries),3972.175733,3934.616702,3823.8332,,,,
