Syria,8.392000198,8.253000259,8.031000137,,,,,
Turks and Caicos Islands,,,,,,,,
Chad,2.171999931,2.417000055,2.198999882,,,,,
East Asia & Pacific (IDA & IBRD countries),4.100880575,4.011452093,3.927338397,,,,,
Europe & Central Asia (IDA & IBRD countries),7.617339428,7.437278588,7.053763538,,,,,
Togo,1.692000031,1.654000044,1.657999992,,,,,
Thailand,0.597000003,0.688000023,0.632000029,,,,,
Tajikistan,11.35000038,10.98900032,10.73799992,,,,,
Turkmenistan,3.839999914,3.799000025,3.694999933,,,,,
Latin America & the Caribbean (IDA & IBRD countries),6.685650993,7.858384294,8.161817021,,,,,
Timor-Leste,3.342999935,2.979000092,2.963000059,,,,,
Middle East & North Africa (IDA & IBRD countries),11.45074492,11.5148312,11.38946765,,,,,
Tonga,1.080000043,1.054999948,1.003000021,,,,,
South Asia (IDA & IBRD),2.9925659,2.929175636,2.773211933,,,,,
Sub-Saharan Africa (IDA & IBRD countries),6.073459597,6.249681866,6.120978037,,,,,
Trinidad and Tobago,2.210999966,2.971999884,2.816999912,,,,,
Tunisia,15.21800041,15.51399994,15.37899971,,,,,
Turkey,10.23600006,10.83899975,10.81900024,,,,,
Tuvalu,,,,,,,,
Tanzania,2.122999907,2.095000029,1.93900001,,,,,
Uganda,1.870000005,1.792000055,1.697999954,,,,,
Ukraine,9.140000343,9.350000381,9.510000229,,,,,
Upper middle income,5.799849749,6.054581275,6.061632571,,,,,
Uruguay,7.487999916,7.84100008,7.889999866,,,,,
United States,5.28000021,4.868999958,4.355000019,,,,,
Uzbekistan,5.150000095,5.159999847,4.972000122,,,,,
St. Vincent and the Grenadines,20.1989994,20.06500053,19.7310009,,,,,
Venezuela,6.820000172,7.460000038,7.421999931,,,,,
British Virgin Islands,,,,,,,,
Virgin Islands (U.S.),8.923000336,8.706000328,8.461999893,,,,,
Vietnam,1.858999968,1.850999951,1.886000037,,,,,
Vanuatu,5.526000023,5.693999767,5.422999859,,,,,
World,5.216667303,5.215800543,5.050055798,,,,,
Samoa,8.616000175,8.605999947,8.324000359,,,,,
Kosovo,,,,,,,,
Yemen,14.02299976,13.52400017,13.17500019,,,,,
South Africa,25.15600014,26.5510006,27.32699966,,,,,
Zambia,7.446000099,7.372000217,7.205999851,,,,,
Zimbabwe,5.438000202,5.238999844,4.94299984,,,,,
