Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Eswatini,"International migrant stock, total",16944,,,,,34813,,,,,33766,,,,,27735,,,,,33740,,,,,40960,,,,,72085,..,..,..,..,25031,,,,,22855,,,,,27097,,,,,30476,,,,,31579,,,
Ethiopia,"International migrant stock, total",393260,,,,,383551,,,,,394582,,,,,392082,,,,,404192,,,,,583658,,,,,1155390,..,..,..,..,806904,,,,,611384,,,,,514242,,,,,567720,,,,,1072949,,,
Faroe Islands,"International migrant stock, total",1489,,,,,1716,,,,,1978,,,,,2280,,,,,2628,,,,,3029,,,,,4285,..,..,..,..,2900,,,,,3593,,,,,4583,,,,,5096,,,,,5517,,,
Fiji,"International migrant stock, total",20078,,,,,17953,,,,,16394,,,,,15071,,,,,14025,,,,,13103,,,,,13283,..,..,..,..,13001,,,,,12719,,,,,12435,,,,,13351,,,,,13751,,,
Finland,"International migrant stock, total",32084,,,,,32196,,,,,32491,,,,,35352,,,,,38789,,,,,48822,,,,,63255,..,..,..,..,99729,,,,,136203,,,,,192169,,,,,248135,,,,,315881,,,
France,"International migrant stock, total",3507213,,,,,4447230,,,,,5210336,,,,,5571664,,,,,5890633,,,,,5952820,,,,,5897267,..,..,..,..,6087993,,,,,6278718,,,,,6737600,,,,,7196481,,,,,7784418,,,
French Polynesia,"International migrant stock, total",3665,,,,,5480,,,,,8194,,,,,12252,,,,,18015,,,,,23734,,,,,25830,..,..,..,..,28360,,,,,30329,,,,,32286,,,,,31640,,,,,30058,,,
Gabon,"International migrant stock, total",20865,,,,,29030,,,,,40391,,,,,61887,,,,,94824,,,,,110027,,,,,127980,..,..,..,..,152972,,,,,195571,,,,,214123,,,,,243992,,,,,268384,,,
"Gambia, The","International migrant stock, total",31551,,,,,39073,,,,,48389,,,,,60210,,,,,75374,,,,,94358,,,,,118123,..,..,..,..,150890,,,,,182514,,,,,181905,,,,,185763,,,,,192540,,,
Georgia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,338300,..,..,..,..,278450,,,,,218600,,,,,199805,,,,,182202,,,,,168802,,,
Germany,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,5936181,..,..,..,..,7464406,,,,,8992631,,,,,10299160,,,,,11605690,,,,,12005690,,,
Ghana,"International migrant stock, total",529720,,,,,427416,,,,,351973,,,,,384784,,,,,420653,,,,,494449,,,,,164851,..,..,..,..,252879,,,,,191601,,,,,304436,,,,,337017,,,,,399471,,,
Gibraltar,"International migrant stock, total",6765,,,,,7681,,,,,9071,,,,,9436,,,,,9747,,,,,9404,,,,,8709,..,..,..,..,8381,,,,,8054,,,,,9211,,,,,10369,,,,,11065,,,
Greece,"International migrant stock, total",52495,,,,,68707,,,,,89572,,,,,123472,,,,,171755,,,,,309261,,,,,618139,..,..,..,..,857850,,,,,1111665,,,,,1190707,,,,,1269749,,,,,1242514,,,
Greenland,"International migrant stock, total",2591,,,,,4269,,,,,7225,,,,,8571,,,,,8820,,,,,9277,,,,,9416,..,..,..,..,7320,,,,,6755,,,,,6686,,,,,6226,,,,,6009,,,
Grenada,"International migrant stock, total",4011,,,,,3549,,,,,3140,,,,,2778,,,,,2458,,,,,3123,,,,,4263,..,..,..,..,5544,,,,,6825,,,,,6902,,,,,6980,,,,,7057,,,
Guam,"International migrant stock, total",31001,,,,,34190,,,,,37806,,,,,43897,,,,,50997,,,,,59836,,,,,69755,..,..,..,..,71912,,,,,74070,,,,,74743,,,,,75416,,,,,76089,,,
